"","country","year","diesel","petrol"
"1","BE",2016,1085.48039697357,1241.34479709148
"2","BE",2017,1200.6609631837,1298.1122753052
"3","BE",2018,1335.10804208944,1318.28598271327
"4","BE",2019,1333.36489462632,1290.76851117175
"5","BE",2020,1192.86537928486,1180.39693245865
"6","BE",2021,1339.74321265521,1330.01814099554
"7","BE",2022,1562.220461769,1458.61816087785
"8","DE",2016,1078.74501992032,1300.21912350598
"9","DE",2017,1142.25269343781,1345.62193927522
"10","DE",2018,1227.38461538462,1387.30769230769
"11","DE",2019,1189.16723087339,1342.48960247606
"12","DE",2020,1049.37618147448,1217.9584120983
"13","DE",2021,1271.88457800702,1449.5402556627
"14","DE",2022,1646.49718354065,1620.34788641657
"15","FR",2016,1098.35430166484,1297.14624663543
"16","FR",2017,1212.22509115995,1355.45087217897
"17","FR",2018,1386.84382239382,1454.82355212355
"18","FR",2019,1370.8240075449,1433.93919359073
"19","FR",2020,1194.78274881517,1285.81706161137
"20","FR",2021,1329.01889953604,1442.18413591291
"21","FR",2022,1617.47769960317,1586.2126120178
"22","LU",2016,921.170731707317,1090.21711315474
"23","LU",2017,972.511013215859,1133.50954478708
"24","LU",2018,1053.85279723635,1172.26753670473
"25","LU",2019,1038.69131906515,1143.18851301494
"26","LU",2020,916.680826961201,1017.38884168791
"27","LU",2021,1116.51886372649,1214.71487965682
"28","LU",2022,1471.8039050289,1414.01410838482
