"","country","year","diesel"
"1","BE",2016,1085.48039697357
"2","BE",2017,1200.6609631837
"3","BE",2018,1335.10804208944
"4","BE",2019,1333.36489462632
"5","BE",2020,1192.86537928486
"6","BE",2021,1339.74321265521
"7","BE",2022,1562.220461769
"8","DE",2016,1078.74501992032
"9","DE",2017,1142.25269343781
"10","DE",2018,1227.38461538462
"11","DE",2019,1189.16723087339
"12","DE",2020,1049.37618147448
"13","DE",2021,1271.88457800702
"14","DE",2022,1646.49718354065
"15","FR",2016,1098.35430166484
"16","FR",2017,1212.22509115995
"17","FR",2018,1386.84382239382
"18","FR",2019,1370.8240075449
"19","FR",2020,1194.78274881517
"20","FR",2021,1329.01889953604
"21","FR",2022,1617.47769960317
"22","LU",2016,921.170731707317
"23","LU",2017,972.511013215859
"24","LU",2018,1053.85279723635
"25","LU",2019,1038.69131906515
"26","LU",2020,916.680826961201
"27","LU",2021,1116.51886372649
"28","LU",2022,1471.8039050289
